code,severity,layer,subject_type,is_strict_only,status,reconcile,validator_code,ruleset
INDEX_CYCLE_DETECTED,error,index-expansion,index-child,FALSE,active,,INDEX_CYCLE_DETECTED,baseline
INDEX_DEPTH_EXCEEDED,error,index-expansion,index-child,FALSE,active,,INDEX_DEPTH_EXCEEDED,baseline
SITEMAP_INDEX_NESTED,warning,index-expansion,index-child,FALSE,active,,INDEX_NESTED_INDEX,baseline
INDEX_CHILD_COUNT_EXCEEDED,error,index-expansion,index-child,FALSE,active,,INDEX_CHILD_LIMIT,baseline
INDEX_CHILD_OUT_OF_SCOPE,warning,index-expansion,index-child,FALSE,active,,,baseline
INDEX_TOTAL_SITEMAPS_EXCEEDED,error,index-expansion,index-child,FALSE,active,done,INDEX_TOTAL_SITEMAP_LIMIT,baseline
INDEX_TOTAL_URLS_EXCEEDED,error,index-expansion,index-child,FALSE,active,done,INDEX_TOTAL_URL_LIMIT,baseline
INDEX_TOO_MANY_CHILDREN,warning,index-expansion,index-child,FALSE,validator-only,,INDEX_TOO_MANY_CHILDREN,baseline
INDEX_TOO_MANY_INDEXES,warning,index-expansion,report,FALSE,validator-only,,INDEX_TOO_MANY_INDEXES,baseline
HREFLANG_FORMAT_INVALID,error,protocol,entry,FALSE,active,,HREFLANG_FORMAT_INVALID,baseline
HREFLANG_SEPARATOR_INVALID,error,protocol,entry,FALSE,active,,,baseline
HREFLANG_NONSTANDARD_CASE,info,protocol,entry,FALSE,active,,HREFLANG_NONSTANDARD_CASE,baseline
HREFLANG_XDEFAULT_INVALID,error,protocol,entry,FALSE,active,,HREFLANG_XDEFAULT_INVALID,baseline
HREFLANG_XDEFAULT_MISSING,info,protocol,entry,FALSE,active,,,baseline
HREFLANG_LINK_ATTR_INVALID,error,protocol,entry,FALSE,active,,HREFLANG_LINK_ATTR_INVALID,baseline
HREFLANG_HREF_RELATIVE,warning,protocol,entry,TRUE,active,,,baseline
HREFLANG_DUPLICATE,warning,protocol,entry,FALSE,active,,HREFLANG_DUPLICATE,baseline
HREFLANG_MISSING_SELF_REFERENCE,warning,protocol,document,FALSE,active,,,baseline
HREFLANG_NON_RECIPROCAL,warning,protocol,document,FALSE,active,,,baseline
HREFLANG_INCONSISTENT_LANGUAGE,warning,protocol,document,FALSE,active,,,baseline
PAGE_FETCH_FAILED,error,page,page-url,FALSE,active,,PAGE_FETCH_FAILED,baseline
PAGE_SSRF_BLOCKED,error,page,page-url,FALSE,active,,PAGE_SSRF_BLOCKED,baseline
PAGE_STATUS_ERROR,error,page,page-url,FALSE,active,,PAGE_STATUS_ERROR,baseline
PAGE_STATUS_REDIRECT,warning,page,page-url,FALSE,active,,PAGE_STATUS_REDIRECT,baseline
PAGE_REDIRECT_CHAIN,info,page,page-url,FALSE,active,,PAGE_REDIRECT_CHAIN,baseline
PAGE_CANONICAL_MISMATCH,warning,page,page-url,FALSE,active,,PAGE_CANONICAL_MISMATCH,baseline
PAGE_CANONICAL_MISSING,info,page,page-url,FALSE,active,,PAGE_CANONICAL_MISSING,baseline
PAGE_META_ROBOTS_NOINDEX,warning,page,page-url,FALSE,active,,PAGE_META_ROBOTS_NOINDEX,baseline
PAGE_XROBOTSTAG_NOINDEX,warning,page,page-url,FALSE,active,,PAGE_XROBOTSTAG_NOINDEX,baseline
PAGE_HREFLANG_MISMATCH,warning,page,page-url,FALSE,active,,PAGE_HREFLANG_MISMATCH,baseline
ROBOTS_DISALLOWED,warning,robots,page-url,FALSE,active,,ROBOTS_DISALLOWED,baseline
ROBOTS_INDETERMINATE,info,robots,page-url,FALSE,active,open,ROBOTS_FETCH_FAILED,baseline
ROBOTS_SITEMAP_DISALLOWED,warning,robots,source,FALSE,active,open,,baseline
ROBOTS_NOT_TESTABLE,info,robots,page-url,FALSE,validator-only,,ROBOTS_NOT_TESTABLE,baseline
ROBOTS_FETCH_FAILED,info,robots,page-url,FALSE,validator-only,,ROBOTS_FETCH_FAILED,baseline
REPORT_TRUNCATED,info,report,report,FALSE,validator-only,,REPORT_TRUNCATED,baseline
INSPECTION_FULL_CAP_HIT,info,report,report,FALSE,validator-only,,INSPECTION_FULL_CAP_HIT,baseline
INSPECTION_SAMPLE_CAP_HIT,info,report,report,FALSE,validator-only,,INSPECTION_SAMPLE_CAP_HIT,baseline
PROTOCOL_URL_DECODED_TOO_LONG,error,protocol,entry,FALSE,active,,,yandex
PROTOCOL_TAG_DATA_LIMIT_EXCEEDED,warning,protocol,entry,FALSE,active,,,yandex
ENGINE_UNSUPPORTED_SITEMAP_FORMAT,error,classification,source,FALSE,active,,,yandex
